Time,Port Aileron,Starboard Aileron,Port Flap,Starboard Flap,Elevator,Rudder,Roll,Pitch,Yaw
1732897830.929376,0,0,0,0,0,0,,,
1732897830.9817119,0,0,0,0,0,0,,,
1732897831.033354,0,0,0,0,0,0,,,
1732897831.085545,0,0,0,0,0,0,,,
1732897831.136936,0,0,0,0,0,0,,,
1732897831.188999,0,0,0,0,0,0,,,
1732897831.240179,0,0,0,0,0,0,,,
1732897831.291801,0,0,0,0,0,0,,,
1732897831.3444328,0,0,0,0,0,0,,,
1732897831.395456,0,0,0,0,0,0,,,
1732897831.447684,0,0,0,0,0,0,,,
1732897831.500115,0,0,0,0,0,0,,,
1732897831.551766,0,0,0,0,0,0,,,
1732897831.602572,0,0,0,0,0,0,,,
1732897831.6541078,0,0,0,0,0,0,,,
1732897831.705529,0,0,0,0,0,0,,,
1732897831.756366,0,0,0,0,0,0,,,
1732897831.807769,0,0,0,0,0,0,,,
1732897831.8588119,0,0,0,0,0,0,,,
1732897831.91017,0,0,0,0,0,0,,,
1732897831.961177,0,0,0,0,0,0,,,
1732897832.012445,0,0,0,0,0,0,,,
1732897832.06307,0,0,0,0,0,0,,,
1732897832.113884,0,0,0,0,0,0,,,
1732897832.16474,0,0,0,0,0,0,,,
1732897832.2170281,0,0,0,0,0,0,,,
1732897832.268181,0,0,0,0,0,0,,,
1732897832.319492,0,0,0,0,0,0,,,
1732897832.370451,0,0,0,0,0,0,,,
1732897832.421671,0,0,0,0,0,0,,,
1732897832.47321,0,0,0,0,0,0,,,
1732897832.5239801,0,0,0,0,0,0,,,
1732897832.5752041,0,0,0,0,0,0,,,
1732897832.627163,0,0,0,0,0,0,,,
1732897832.6787798,0,0,0,0,0,0,,,
1732897832.73079,0,0,0,0,0,0,,,
1732897832.782217,0,0,0,0,0,0,,,
1732897832.833874,0,0,0,0,0,0,,,
1732897832.886179,0,0,0,0,0,0,,,
1732897832.937618,0,0,0,0,0,0,,,
1732897832.989721,0,0,0,0,0,0,,,
1732897833.041383,0,0,0,0,0,0,,,
1732897833.0927732,0,0,0,0,0,0,,,
1732897833.144396,0,0,0,0,0,0,,,
1732897833.195819,0,0,0,0,0,0,,,
1732897833.247823,0,0,0,0,0,0,,,
1732897833.29926,0,0,0,0,0,0,,,
1732897833.351686,0,0,0,0,0,0,,,
1732897833.4028769,0,0,0,0,0,0,,,
1732897833.455123,0,0,0,0,0,0,,,
1732897833.5069382,0,0,0,0,0,0,,,
1732897833.5582452,0,0,0,0,0,0,,,
1732897833.6100202,0,0,0,0,0,0,,,
1732897833.662064,0,0,0,0,0,0,,,
1732897833.713174,0,0,0,0,0,0,,,
1732897833.764695,0,0,0,0,0,0,,,
1732897833.8164868,0,0,0,0,0,0,,,
1732897833.868072,0,0,0,0,0,0,,,
1732897833.920309,0,0,0,0,0,0,,,
1732897833.971515,0,0,0,0,0,0,,,
1732897834.023618,0,0,0,0,0,0,,,
1732897834.075072,0,0,0,0,0,0,,,
1732897834.126412,0,0,0,0,0,0,,,
1732897834.178293,0,0,0,0,0,0,,,
1732897834.229151,0,0,0,0,0,0,,,
1732897834.281182,0,0,0,0,0,0,,,
1732897834.333143,0,0,0,0,0,0,,,
1732897834.385198,0,0,0,0,0,0,,,
1732897834.437248,0,0,0,0,0,0,,,
1732897834.4886332,0,0,0,0,0,0,,,
1732897834.540514,0,0,0,0,0,0,,,
1732897834.591895,0,0,0,0,0,0,,,
